what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.common.jdt.debug.ui,3.3.0.v20111208-2036-H34-M5,"org.jboss.tools.common.jdt.debug.ui",1342619127179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619193207
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1342619197299
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619204252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619205596
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342619206277
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1342619208782
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1342619211794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619215057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619242290
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342619246618
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1342619249128
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619251509
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1342619252789
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619356519
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1342619357622
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342619359960
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1342619362582
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1342619366053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619370511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619372033
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619374854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619385295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619387275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619412361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619415291
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619715698
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1342619716245
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1342619720736
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342619722740
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619724443
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619727059
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1342619736078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619740489
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619742137
error,log,,,"No command output when running: 'am start -n cn.edu.xmu.software/cn.edu.xmu.software.RegisterActivity -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1342619743795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619744077
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619750547
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619751744
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619754334
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619754919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619755809
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619757134
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619769419
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1342619769431
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1342619805504
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619807179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619848919
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1342619850698
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342619856920
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342619873166
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342619873352
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342619881761
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1342619898012
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1342619898172
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1342619983338
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619984136
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342619991366
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1342619995384
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1342619996860
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1342619997783
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342620007888
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1342620020324
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1342620020412
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342620038768
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1342620039059
started,bundle,org.jboss.tools.jst.text.ext,3.3.0.v20111208-2115-H35-M5,"org.jboss.tools.jst.text.ext",1342620039171
started,bundle,org.jboss.tools.cdi.text.ext,1.2.0.v20111208-2203-H35-M5,"org.jboss.tools.cdi.text.ext",1342620039266
started,bundle,org.jboss.tools.cdi.seam.text.ext,1.2.0.v20111208-2203-H35-M5,"org.jboss.tools.cdi.seam.text.ext",1342620039269
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1342620039333
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342620041282
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342620047754
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342620070635
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342620088123
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342620092983
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342620095941
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342620100767
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342620100842
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342620104543
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342620110874
